name,full_name,date,participants,url,description
Participate,Participate,2023,,#,
Events,Events,2023,,#,
5G-STARDUST,5G-STARDUST,2023,,https://smart-networks.europa.eu/stream-a-smart-communication-components-systems-and-networks-for-5g-mid-term-evolution-systems/#5G-STARDUST,
6Green,6Green,2023,,https://smart-networks.europa.eu/stream-a-smart-communication-components-systems-and-networks-for-5g-mid-term-evolution-systems/#6Green,
ACROSS,ACROSS,2023,,https://smart-networks.europa.eu/stream-a-smart-communication-components-systems-and-networks-for-5g-mid-term-evolution-systems/#ACROSS,
